mensagem,odio
rt tar dar beijinho rosto de ela jeito q tratar virar crime carinhoso,0
jicuca bicho chato pra caralho dia,1
72 refugiado vier EUA 32 112 durante IMPED LEGAL 7 país SÍRIA IRAQUE SOMÁLIA,0
vila olímpia,0
divulgar,0
ir abrir olho comprar ultimo hora,0
rt thread pornozão sapatão pra vc siriricar madrugada,1
amiga mau q q estrume falar fundo razão ficar famoso botar chifre em ele pq amante famoso,1
porra fiquei bêbado kkkkkk acordar ressaca hj,0
começar sessão torcida Trump,0
caraio,0
Pq sapatao pagar pau pra kristen Stewart sinceramente achar gracinha,1
ódio john Mayer kkkkkk,0
União Europeia ameaçar sanção país receber refugiado,0
Bancada evangélico kkkkk bandidagem morar,0
Mano nao descarregava musica haver 10 ano atras all in achar valer tar olho,1
enterrar né link,0
falar Félix caso de isto tweet inicial Félix Querias ser falar Ronaldo,0
rt pessoa desgraçado falso gostar fdp,1
comprar pé galinha rabo porco almoço claro q pq governo amor,1
putz meta agr tirar foto anão trapstar,1
tar comigo idiota favorito,1
devese formar opinião analisar histórico semeiar notícia rede social existir pessoa cultura entendir assunto contratar escrever ser pró individuo instituição,1
fazer pra votar traste,1
rt falar eu tô,0
profeta estúpido preocupar turma Tramp manipular eleição,1
mentir igual bruaca foto pq pagar 25 real drink trajano pesadelo pensar possibilidade link link,0
kkkkkkkkkkkkkkkkkkk caos deus,0
rt morrar Msm,0
tar rezar aula voltar greve acabar to cu mão kkkkkkkkkkk monstro,1
Meigo forte capitalismo,0
querer milagre conta bancário nct dream fazer algum,0
perdi partida 11 kills faltar 20 cara pra 2 bot 0 kills robô dia foder arrombar,1
DIA SR PRECISA ENCONTRAR JESUS PRECISA ACHAR CLÍNICA PSIQUIATRICA SOE,0
gente escrotar,1
tbm refugiado qm casa q passar fome qm abandonar pai familiar enfim q sofrer,0
sapatella mandar email promoes entendam puto,0
sigilo quadrilha ja colocar abrir de este viagem infinito preco ouro palhaçar,1
recebo notificação site lixo ódio,1
rt ideal carne pasto mugir ô fdp,0
pqp heiin,0
enrolar interesse,0
q ódio prr alg chamar pra jogar pqp,0
telespectador globolixo espalhar ódio desinformação inveja armação covarde mentirosa sair vibe,1
ento basicamente reggie encher saco Joelle pra CACETE pra finalmente bicho simplesmente ghosting sinistro,0
vontade bater ir chamar pra fuder,0
caraca sobrinha perfeito mano,0
krlhooooo achar pohaaa vtnc mundo foda,1
divo,0
cara to decidido vo virar engenheiro computaçao pra montar loja igual cara roubo processador nao vo roubar processador ninguem filho puta voce acabar vida,1
costaa,0
ehr diferença expliquar link,0
rt ver documentário explicar,0
mandar,0
mano tia ehr sacooooo burrar chato caralho cuidar vida,1
cindy tirar curter tar receber hatertá feliz surtar caralho,1
Fiquei emocionar,0
Leia conversa SÁBADO presidente PNR,0
porra menina deixar placar alargar q,1
idiota falar so futebol sera so futebol,1
Feliz dia puta vadia feio gordo huuuuum gostoso Feliz dia,1
rt gata pra caralho,1
comer carregador comer fecho mochilasbolsa comer absorvente calcinho escova acabar comer miojo comprar tnc chegahhhh,1
,0
pai família trabalhar ifood testar remédio caralho série demaaaaaal,1
coidar sério,0
n fiquei c cu mao ne,1
mr louco aproximar gostar gordo kkkk,0
Joice traidor,1
Pedro q postar foto saber babar em ele fazer aniversário mengao em ele,0
babaca traidor inútel,1
rt sonho tema recebimento time,0
esperar pessoa deixar cu doce,1
views epiphany hoje porrar Army,0
tô pra exol chorar taemin ten junto,0
caralho aguentar mundo falar curso porra caralho,1
soltar fav impressão chato mimar proximidade 19000009 gosto Vocêgosto considerobest conheciclg pra honesto namorar cm Rafa carai,0
chupacu Goianinha,0
sentir enojar,0
pqp simmm pai céu n prestar p passar n moral,0
rt magrelo feiao foto incrível tropa sucesso,0
frio toxico caralho,1
mesmo achar q vc escroto,0
gente calor hoje perceber tô preparado nenhum p ver ir precisar praia santo dia pqp,1
oq tô pensar,0
variar política Díptico acrílico velas praia,0
vlw pai terminar fuder dia,0
LEVEO PRO PUTEIRO ENTRAR LOL SR SERÁ AVÔ SOE,0
lindo vidaaaa,0
feminismo massa manobra esquerdae nao negar issotb ver F,1
orgulho confronto político Nacionalismo Globalismo htt,1
rt casal moderno compor pessoa amar cachorro pq vc gostar cachorro tomar cu,1
2 pessoa super inteligente,1
pessoa q importar cmg,1
Tony sacrificar iron man entrar buraco minhoca pra salvar ny cena deletar im3 tirar reator pra salvar garoto mito tony parar egosta endgame ja horrvel graas pai abusivo de ele j forar,1
passivo sofrer pau negão Olha tamanho pau,1
empatia de esse jamais irei estudar porto rico casinha,0
twitter r323646 link link,0
prender incitação violência,0
dia faxina,0
lembrar 5 ano morrer rir tv família virar moda mundo gostar,0
parabéns,0
oq pensar,0
friaca caralho querer pro jogo vamoooo,1
Geminifourth ser estragar desenvolvimento casal pra colocar plot lixo pra ir coringar,1
nao to botar fé caralha aparecer santa tomar cu pra,1
traíra pendurar bola deixar encostar chão,0
pôr pfv vc,0
dia exassessor bolsonaro prender pf confessar fraude cartão vacina apavora facção bolsonarista,0
ridículo,0
moro Portugal anossssss MIMIMI brasileiro pq presidente chamar GRETA pirralha afetar imprensa internacional acrescentar pirralha chato manipular Europa ver adolescente ano frequentar escola espanto certo desconfiança haver trás financiar viagem sustento GRETA pai pai deixar trabalhar acompanhar ninfeta prodígio,0
rt existir boato libertador fifa 20 nao falar nao tenh,0
Lula Livre Lula inocente moro chefe quadrilha morar Queiróz Mariele,1
escroto,0
lixo ódio,1
responder whats responder né fdp,0
rt maldito homem confiar outro atividade amizade Jesus trair desconhecido dia s,0
Confesso cotovelite ser capaz escrever livro fizesse ter amigo comprar,0
achar oferta certo desperdício Witsel Jackson Óscar Ramires,0
assistar jogo perigoso pqp filme mt,0
puta parir to acordar querer,1
particularmente gostar pq documentário início ver infelizmente prender atenção,0
ô vagabundar amar considerar irmão puta,1
rt simples,0
vsf cara foda,1
cara conseguir passar dia merda,1
bora amigo tar hora acordar bagre,0
Amém Deus cubra benção vcs dê dicertimento pra lidar afronta esquerdista,0
pagar pau pra pessoa mo haver,1
terminar estágio link,0
SDV,0
mds transar estacionamento,1
kkkkkkkkkkkk 300 pagar cesta básico ódio,0
matar loki maneira ridiculo fuder,0
desgraçar,0
feliz dia mãe pr mãe familia tradicional,0
acreditar perdi ser show entrevista Nadia Nagle Eduardo Bolsonaro,0
militar colocar ordem,0
respeito paulista torcer pro flamengo,0
voz irritar demônia,1
parabéns guerreiro gritar peito rua em un país mulher livre fácilquero lut,1
iludido burro viver chorar globo Jesus igual mau constantino época bolsonaro,1
AMANHÃ enfrentar Indepa Rádio Minas bola rolar 13h Bastidores 14h Bola Premiada 16h30 Jornada Esportiva 19h Atlético x Cruzeiro SINTONIZE Time Rádio esperar,1
cara video mt escroto rio kkkkkkk n explicar,0
Alguém conseguir chorar litro,0
comentarista Globo News orgulho posar homem organização terrorista q matar m,1
ahhhhhhhhh cara tomar cu senhora,1
rt vidro fechar insulfilm pau quebrar,1
depender relacionamento né pq tornar gay homossexual afeto paixão amor outro homem estar falar sexo saber equivocar falar b sigla Lgbt Britney spears,1
perdoar diferente voltar confiar,0
palmeirense encucar natureza kkk,0
rt pagar apaixonada wpp tt brabona kkkkkkkkkkkkkkkk,0
liberar enquete música,0
gente ficar raiva irmão,1
hoje,0
rt direito tabacocambada fumador ahahahha,0
burra pq concordar vcs Pensei q mulher ser livre ah éA liberdade acabar quand,1
perguntar Andrés mandar tirar matar Marielle camisa pq Galliotti permitir membro comissão erguer taça pq SPFC time coração manifestar porra Leco medo p,1
38 1237 Godoy feio 38 1246 Rillary Falou ERAAAA 38 1247 Godoy falar vc 38 1248 Godoy vc feio KKKKKKKKKKK ODEIO CARA,1
rt correr atrs algum correr pessoa significar pra eu,1
crime ódio tar chegar foguete,0
bom sensação mundo chorar alegria conquista outro vc orgulho dizer q ir chegar amar absurdo,1
perfeito pqp,0
Idolatrar deus todopoderoso herói homem genial merecer questionamento ídolo medíocre entender,0
tô indignar retardado tml dizer leighanne poder diano dom claro personagem vei n deixar negro ne,0
divertir hospedar Ministro Shinzo Abe Estados Unidos,0
Vou pintar preto branco,1
bater meta hoje kkkkkkkkkkkkkkkkkkk,0
estar confuso saia cena Imaginese observar vida Olhe pensar sentir julguar olhar irradiar amor clareza passo transcender mente ilusão criar,1
perfazer orgulho mundo link,1
kakakakakak Cade lista ai gringa ver pqp,0
achar fã bonito cabelo azul tar perfeito ir comentar arte link,0
nao acreditar prisão bolsonaro,0
Td dia merda achar ter medo ameaa besta projeto gente j vir Insta pessoal ameaar Eraldo tirar satisfao borrar td bloquear wpp kk comdia Prximo tt soltar print dizer insta,1
lendria gerao,0
eai gente vcs pensar q cei eh ridiculo lembrar eu,1
universitário dizer universitário porcaria,1
Velho maluco botar cadeia,0
velho q ódio,0
empresa fabricar CITOTEC REMEDIO ABOIVO dinheiro pra gente,1
melhora,0
pastor demônio,0
7º BPM GAT II GAT IV 01 Elemento Presobaleado 01 Pistola 40 Taurus 01 Rádio Transmissor Matéria entorpecente Pocinho Mutuá,0
pontadelança cultura morte legalizar Eutanásia eu defender Vida dignidade,0
pai soubesse tratar afetar vida presente feliz,0
duvida bárbaro,1
consciência absoluto gostosa caralho,1
sonhar ta transar acordar vontade vsf kkkkkk,1
rt to bonito pra tomar cu jeito,1
hora puta viar online exceto,1
biscoito treloso pqp Aaaaaporraaaaaa,0
Espírito porco mau bom,1
mandar berrio jogar bola porrar,0
tiktok,0
porra brasil porraaaaa,0
companheira mineiro torresmo barriga cachaça,0
chupar PAU chupada mandíbula ficar dormente freio língua arrebente aguentar parar cara gozar boca tremer coxa de ele fechar cara,0
Bastaram 4 ano pra mudança acontecer,0
nascer pra sapatão namoral,1
tomar obviamente compromisso personagem invasor gente alimentar ódio doentio agro Capiroto link,1
ta engraçado hein lorena,0
credo horror emils sintar amor tomar Msm,1
caralho fuderrrrrrrrrrr mto ódio coach Liberalzinho merda q viver realidade paralelo link,1
golpista servir pra,0
fake ver,0
assistar filme air sensacional mostrar bastidor assinatura Jordan nike prime vídeo recomendar,0
TOLA MESQUINHA ARRUINADA,0
falar q querer Lula cara saber agradar Imprensa amar Lula Empreiteiros amar Lula Sindicatos amar Lula Banqueiros amar Lula MST mtst amar Lula Artistas amar Lula STF amar Lula S ficar,0
fazer l imediatamente,0
andar luladr saída sumir molusco pra notícia fdp,0
porra remédio servir porra tomar cu capitalismo,1
Anderson Martins flu fdp cobrar kkkk,0
ai ce falar pessoa bater papo abrao,1
filho Sr presidente dever ficar falar colocar perder lástimo,0
fome porra bicho,0
Deus sério cidade pessoa morrer fila hospital Absurdo,1
tar lari sawary,0
amarrar dançar pqp legal,0
mano billboard Forbes bts PRECISOU ads pra view KKKKKKK literalmente jogar rodinha qm pagar ads qm nao falar q prática criar dúvida real popularidade de esse clipe falar mvs ads FRONTA KKK,0
Hipocrisia Pura,0
Haddad vc opção voto pra rei planeta ter terço qualificação educacao empatia vc estaría paraíso político,0
perdi maquiagem puta,1
rt flowzin Vettorazzi nojo total,0
Elefaz trabalhar,0
enquete apontar preferência consumo rádio 2023 receptor fmam liderar link,0
rt sororidade ehr negócio q vcs enfiar cu vcs ne filho puta,1
Sepulcro Caiado arrumadinho bonito podre,0
rt din mano din,0
mentalmente msm,0
começar comparar preço ovo Páscoa barra chocolate,0
rt odeior twitter tar ver publicação feed porra publicação sumir ma,0
foda pqp garoto merecer mundo vsf,1
ir bofe pal eo ficar Msm tmnc,0
porra bebê nascer nao,0
q amigo exigir caralho,1
keenler nao acontecer temporada matar,0
pena,0
enchir porra saco começo,0
q ódio tô ser lixeiro vulgo neo química domingo,0
Mulheres Rio ir aproximar menina ciência 3 Inscrição online,1
ódio pessoal ficar rico vender ilusão,0
rede social jornalismo dever,0
mau despedir est vivo,1
rt falar retardado nazismo criar aspirina,0
perder cu arrombado jornalismo lixo impor roubo,1
mandar dizer vigarista representar,1
porra kkkkkkk,0
Brother tar frio pra senhor caralho,1
ser declarar persona non grata Algarve Alentejo Henrique Raposo correr risco vida Twitter Restalhe Tinder,0
verdadeiro faroeste rio janeiro,0
dera mina amar ser retardar inteligente,1
vaidoso cheio se trapacear puder,1
brasileiro IGUAL ser desonesto Gregório perceber disparate tentar corrigir metade oração emendar igual deixar sintaxe esdrúxulo,1
mãe tar agressivo hjtudo falar Elaela mandar tncagressividade crlh,1
,0
chamar atenção marido organizar grupal amiga pra jumentar,0
uso canal comunicao pblicar propaganda comunicao estatal inconstitucional apontar procurador,0
rasgar kkkkkkkk,0
aooooo to Boladao porra pprt,0
pedir ofereço fdido empoeirar rachadura parede água passar dia chuva largar,0
erro erro vaise descobrir verdade,0
achar q tar feio hoje,1
vc razão q ter dar atenção concentrar conteúdo vídeo,0
acabar publicar foto,0
presidente tosco história,1
drx q to chatear agr causa carro andré gente batalhar pra fdp tomar,1
estômago dar tilti dnv pqp,0
puta parir Bahia puta parir,1
rt foda lindo sulista dançar brega funk,1
cansar passar raiva vir pra tirar time lama,1
kkkkkkkk otário tomo pau,1
pegar volante pro ônibus ficar vela beijar muro,0
frio filho puta vinho,1
gringo funk ficar em isso,0
nojo,0
sair hoje irei ficar online reclamar twitter vsf,0
adorar,0
dia 20 dia 23 RSC Lisboa amanhã compror bilhete hoje ir dormir feliz,1
achar durar Wellington Lima Silva vulgo Wellington Ministro Justiça Dilma indicar galego mor Jaques Wagner,0
caixa BB ter lançar cartão crédito débito sair domínio Visa rede card,0
básico,0
Arthur grosso caralho,1
valente fracassar completo imbecil 40 pessoa discordar de ele kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
inclusivesaudade caralho n aguento comida ruim país,1
dia pqp,0
belo fera estreie pra PARAR propaganda filme socorro aguentar,1
hora luz porra né,0
Aeeeee dilma cair ja viajar pra Miami,0
parabns,0
Adorar frase Viva louco normal acabar mundo rs,0
covid mascara voce ter paciencia mandar diversos estudo apesar próprio oms Organizaçao mundial saude ja basicamente admitir sao inutel,0
MARGINAL,0
tratar,0
virar porra jogo,0
achar criar problema Bolsonaro cenário político mostrar haver concorrente presidência 2022 melhor Jair combater imoralidade banditismo desonestidade qualificar mandato,1
puto bolar,0
qnd t doer gnt morder travesseiro,0
puder ajudar sonho ocupar ano ver cadeira câmera vereador Paulo sair candidato Aliança Brasil crer ir conseguir chegar objetivo chamar Cícero Silva gestor pequeno imobiliária ficar Avenida Yervant Kissajikian 2763 Americanópolis crer irei conseguir nome Jesus ajudar amigo Eduardo forte abraço amigo patriota,0
educação completo negação Parabéns envolver,0
rt to ser mto humilhar ultimamente ser exaltar exatamente Deus,0
precisar trato,0
mengão querer vim,0
concurso Miss respeito mulher próprio mulher Mulherobjecto Futilidade puro,1
2014 Melanie lançar clipe Dollhouse video gravar arrecadação fundo ajuda fã acompanhar ano anunciar haver assinar Atlantic Records lançar EP,0
velho rico famoso escrotar pra caramba pessoa brincadeira falar sério,1
falar zoo mlk igual,0
falar global sair armário desejo hora ter intervir botar merda pau,1
rt mulher pensar tô bom amigo tá rodeado mulher realmente acontecer,1
crlh homem n prestar pqp kkkkk fico cara cm coisa,0
trabalhar caloteiro arrogante,1
pegar pau,1
acabar perder voto,0
Yugyeom ganhar página Revista10STAR votação dol Champ página poderar fazer design próprio fã ganhar trabalho Ahgase,0
BLACKPINK VIR PRO LOLLA VITÓRIA PRA GENTE GALERA NENHUM AISTA YGE VEIO PRA DÚVIDAS SHOW JUNTEM DINHEIRO,0
feio falar mandar foto,1
parabéns merecer,0
foda,1
morrer alezinho,0
cê atrair gado jeito,0
ministra querer Deus concedir paciência energia seguir luta luminoso q trabalho criatura fragilizar nação grassar pq ser ascensão difícil jornada chamar vida q permanecer retaguarda vontade preguiça suportar vislumbrar vitória luz seguir frente q humildemente carregar chama amor incondicional q iumino bom último Gratidão palavra definir sentimento senhora sus obra,1
argumento abrir bueiro refutar linha falar verdade torturo né,0
palhaço falar constituição federal stf limpar bunda constituição,1
caralho mano tandara furacão,1
esquerda odiado politico desequilibrado,1
carioca necessário torcer clube Rio morar RJ 1972 60 ano torçar Palmeiras achar expor promover pensar diferente,0
pessoa pro inferno precisar vivo chamar stm quente caralho,1
pra fiz l afinal letra ser bom arma link,0
parceiro falso,1
ódio link,0
fé certo,0
pf identificar esquema pagar despesa Michelle bolsonaro parente link,0
deus Misericórdia livrainos mereçar ouvir voz de ele senhor tender piedade nósO cara enlouquecer sede de ele matar muito gente,1
porra fiz enviar artigo pra importante kkkkk Segue texto pedir adicionar livro receber email volta dizer q porra,0
zayn linguinha pqp,0
rt Jeno cadelinha passivo renjun Jaemin,0
Concordo c,0
Fux proibir destruição material roubar hacker pedir cópia mensagem ler Rápido Destrói poha,0
safada vergonha Velha asqueroso,0
amer freenbecky deus grata série reconhecimento menina tiver,1
q pessoa n pagar conta luz aguo afim ne link,1
oh reino desuner gostar terra americano férias Cácá reino desuner poder adquirir casa,0
vsf ter psicóloga 10 hora conseguir acordar caralhar q ódio link,0
Twitter Mano ler notificação cara ler Twitter MANO 3 NOTIFICAÇÕES LEU CARALHOW CAPETA LI PORRA TIRA DAÍ,1
Canalha,0
vídeo original ir manipular vídeo taekooka,0
ir sortear 3 exemplar edição comercial livro clube livro Intrínsecos Basta seguir perfil tweet PUBLICAMENTE preencher formulário link resultado ser divulgar 0508,0
super ir show nx,0
Graças campanha idiota provei barbeador BIC achar melhor Gillette 40 barato Gillette,1
irmão bolsonaro eu parametro pq alguem apoiar bolsonaro abertura partido politico bolsonaro vc pensar partido politico ótica corrida eleitoral pensar partido politico possua fundamento sólido,0
bater forzinha hj casa,0
fdp demorar 2 minuto pra botar ovo,0
td dia msm post ldrv perguntar cade sapatao,0
sabesr começas equação trigonométrico classe,0
amigo q grosso,0
trabalhar pra pagar terapia aprender amar aceitar corpo submeter procedimento cirúrgico perigoso pra alcançar padrão impor sociedade,0
educadamente dar kk,0
felicitala brar,0
chamar problema lkkkkkk,1
fiscal bissexualidade chato caralho,1
tô,0
ir falar q abandonar pobre,1
parar p pensar terminar faculdade bater desespero medo futuro,0
nariz sangrar mãe comeu abacaxi Kerén n KKKKKKKKKK mãe ta rir pq morrer filha puta morrer falar q mesmo mato n percor levar hospital gente q moça agressivo KKKKK,1
rt olhar morena dormir pqp mulher lindo,1
cadêr email,0
veterana refirar sao artista consagrar icone Madonna Britney Mariah Avril Xtina etc Ariana nao novato ta veterano igual citar,1
existir homem antigamenteesses arquiter prisão Lulanão passar frouxo,0
traíra juntar esquerda radical 321,1
tá difícil viver país,0
rei Arthur tirar pau,1
fazer tentar manipular informação ser desmentir envergonhar,0
infelizmente kng passar ja,0
inter ganhar,0
cadêr amg pra cmg,0
PTista fuderao,0
Supremo merda livre exercito pra vermelhar unico solucao,1
ah nacionalismo gajo económico económico PCP diferença PCP querer Angola volta,0
11 Ministros fazer acabar poder permitir pessoa colocar mandem demander Absurdo total,1
Quebraram Placa Marielle Vivo Cores Televisão Filmou Assistiram NINGUÉM cara far Eleitos Realmente Túnel Luz,0
tamanho cara pau propaganda vale falar barragem deus,1
rt indígena araweté começo década 1980 fotografia antropólogo eduardo viveiro Castro,0
dever regra né responder tweet ship ship ver tweet mo engraçado fofo aparecer pessoa outro ship fazer comentário super desnecessário arrogante pq ship de ela chamar surtar,1
Uaaaaauuu maravilhoso HADDAD,0
acreditar querer bolsonaro lula igual link,0
inútil retrato Jaiminho Paulo Freire,1
Aberrações Agenda Globalista,0
mano to tpm fdp vo comer querer msm fod4 querer Kkkkkkkj,1
hoje taa liberdade paulista guri nobr,0
presidente comentário Depreciando,0
chorar n dizer,0
texto Deputado Hélio Lopes manifestar,0
to chorar horror pqp,0
AAP solto agradecer Trump Procuradoria sueca ver mau olho intromissão Trump Processo correr normalmente lei sueco resolver,1
,0
garota perfeito pqp amer,1
importar burro imbecil,1
pôr garimpo contratar,0
av edgard Santos sn Narandiba salvador ba 41211005 abrir fechar 1800 71 31033900 ter atenção necessitar,0
TIM COMPROU GOOGLE,0
rt vejor alguém escrever garotx vontade gritar filho puta x pronome neutro,1
gay pqp,1
detalhe ser trabalhar acordo fechar relacionado direito imagem detalhe técnico taxa câmbio fato United acabar fechar Maguire,0
kkk adorar miga kkk,0
elaaaaaaaaaaaaa Becca link,0
morar sozinha 15 agr c 20 precisei vim morar c vó tô estranhar mt kkk,0
gagá,0
rt retardar ficar puta denunciar twitter,1
porra jogão Brasil issoooo,0
passo vnd trem pqp,0
quinteto formado preparar 5 g pq foto carregar,0
pessoal de aqui casa dom pra tirar sério puta merda véi,1
toga respeito graças Deus poder generalizar,0
pena milhão conta tranbiqueira,0
tô puta vô tar fazer merda pra vó,1
poder acordar puto pq vizinho tar c som alto acordar janela mandar aumentar pq dilsinho q tar tocar,0
procurar pêlo ovo né encontrar erro pequeno gasto conseguir derrubar credibilidade bolsonaro burro jumentar militante petista acreditar sujeito roubar trilhão,1
foto tempinho cortar gastar caso pq amar cavar parede,0
tar foda,1
Simbora ir liberdade querido presidente Luiz Inácio,0
Bemvindo Estados Unidos Benjamin Sara Conferência Imprensa Conjunta,0
trocadilho ruim leon ler off r ler on desculpa,1
Fuck Marry Kill SIGNOS AR F Libra M Gêmeos K Aquário perdoar anjo enfiar frieza cu ÁGUA F Escorpião M Peixes K Cancer FOGO F Sagitário M Áries K Leão TERRA F Capricornio M Virgem K Touro,1
puta Legit Ahshshhshshsh,1
nao nao amigo dificuldade impor causa Cade,1
hoje aniversário nenê aguentar puta divertir irritar parabéns 1 aninho switch,1
rt tomar cu amer mlk,1
fascista machista mimimi mimimi,1
rt Mano moça trabalhar casa kkkkkkkkkkkkkkkkkkkkkkkk,1
