mensagem,odio
"Ele falando dela me pareceu um maníaco sexual, descrevendo ela o corpo e as roupas e juntou com uma mulher com problemas psiquiátricos (talvez mentais), deu nisso...Acredito que ele de uma certa maneira induziu a mulher a ""querer"" isso !!! ninguém nessa história é vitima. Mas eu não confiaria em deixar minha filha ou esposa próxima a esse cara.",OFF
USER a mesma coisa USER USER junto maluco forgado da porra,OFF
USER Dale no seas mentiroso gordo,OFF
'esse partido chamado P T e esse P Sol sao uma doenca pra nossa nacao um enfermo',OFF
"USER ""Nosso""? Velho fdp",OFF
"RT USER: Lula e o PT estavam mortos e enterrados. Todavia, Bolsonaro ressuscitou Ali Babá e sua quadrilha de ladrões. Vamos lutar pa…",OFF
"USER ""ele e mais fofo que USER ? "" ahahah porra. defendendo um cara que nao conhece porque e bonitinho e ""fofo"" e USER sonha em pegar ele... mas nao consegue nem nng porque e feia e pouco inteligente. entao tem de usar os dedinhos e sonhar alto ahaha.... tao futil . vai ver crepusculo vai ....",OFF
caralho eu dormi umas 15 horas kkkkkkkkkk,OFF
"folgada, tomara que seja eliminada",OFF
Propaganda curtíssima com mensagem profunda. Boticário é USER ♡,NOT
"Porque estão abaixando a bola para os globalisitas, USER precisa ficar e mandar todo mundo tomar no cu!",OFF
"Falou demais , viu que deu merda , e depois correu pra fazer Seguro de Kú ! 😂😂😂😂😂😂😂😂😂",OFF
"USER, flow sem Monark 😭",OFF
essa temp me matou de vergonha alheia,OFF
"USER claro querida, é simples: abdique da sua liberdade como mulher, sua liberdade comportamental, sexual e econômica, deixe que homens comandem sua vida e te vendam como mercadoria, que doenças lhe matem por pouco e quando for trabalhar e se for trabalhar, se torne uma engrenagem de uma indústria massacrante e desumana. USER, você está no século passado.",OFF
"Apesar do rolê ter sido uma merda pra mim, vi gente q me odiava no fundamental hoje sabendo letra da minha música de cor Isso sim eh emocionante",OFF
Ta com o rabo ns cerca,OFF
"USER USER USER Racista do krlh, smt, lixo, branco, skatista, homem💪🏿🖕🏼🖕🏼💪🏿🖕🏼💪🏿🖕🏼💪🏿🖕🏼💪🏿🖕🏼🖕🏾",OFF
USER USER USER Estúpida é aquela que colocou um babaca como vc no mundo.,OFF
"USER Bahiano nao tem cerebro, bolsonaro reeleito",OFF
É só parar de falar merda mano,OFF
"Uma coisa que aprendi com essa geração é que as pessoas nao querem mais debater as coisas, querem que sejam como elas desejam que seja. Infelizmente estão criando pessoas burras e fracas com isso, pq não debatem mais, só querem cancelar as pessoas que são diferente delas, o que vamos ver será uma geração de burros e ignorantes que facilmente são manipulados pelo governo.",OFF
"Agora não adianta chorar, USER te avisou...! Defecar pela boca pra um público pode ter severas consequências...",OFF
Seu corpo gordinho e lindo adoro mulhres gordinhas.vc e um USER em frente.for.abraço,OFF
"Isso é uma afronta à toda sociedade, por mais que esses infelizes tente nos empurrar essa filosofia do inferno JAMAIS vão consegui ser visto como pessoas normais, pois saibam que bem psicólogo nem médicos podem tirar algo que foi posto por USER que se chama DNA esse grupo é uma bosta é a escória da humanidade USER acima de tudo e a família .",OFF
"USER USER USER Igual a sua opinião, aliás discutir com petista militonto é divertido e por isso que estou aqui até agora . Mas sabe o nível de burrice e retardo mental já me cansou. Continua acreditando em quadrilha e no Bandido pra lá",OFF
"Esses heteros que reclamam por aqui, são os mesmos que criticam casais homoafetivos por adotarem crianças, mas só querem ter filhos de sangue e provavelmente nunca visitaram ou ajudaram a um orfanato. São os mesmos que dizem sofrer preconceito reverso, porém nunca morreram ou tiveram seus corpos queimados por serem heteros. Ensinam aos filhos pegarem todas, serem o macho violento e babaca, enquanto para as filhas só sobram serem recatadas e do lar. Fazem nada pelo respeito de todos os seres humanos e vêm aqui dizer que é só ensinar às crianças sobre o respeito genérico. Hipocrisia, hipocrisia, hipocrisia...",OFF
Começaram dizendo que a mulher foi abusada. USER de jornalismo.,OFF
">>58888>essa merda é um castigo de deus para os degenerados. se soubesse dessas informações antes teria continuado na punheta em vez de correr atrás de putasfalando dessas merdas eu fico até com medo de sair com puta novamente. parece até um sinal mandando eu virar celibatário, já que não tenho mais saco para correr atrás com mulher e tava segurando a vontade comendo putas.",OFF
"USER Sim, me encaixo em algumas de suas descrições e digo RAÇA MALDITA são esses crentes atuais que profanan o nome de Deus.",OFF
canalha !!,OFF
USER Aqui na minha família fechado com o MITO PT LADRÃO NUNCA VOLTAMOS NESSA RAÇA IMUNDA FDP DE LADRÕES ✅🇧🇷🇧🇷 URL,OFF
Única pessoa q está tentando lacrar parece ser voce nesse comentário,OFF
"RT USER: É sério que o USER acredita mesmo que quem ouve aquelas merdas que a Anitta ""canta"" e gosta de ver aquele rabo de gelat…",OFF
"vey, o melhor video dele!!!! eu ja fui fã de crepusculo (infelizmente) e quando eu vi me senti uma idiota (e eu fui)",OFF
"Vocês são a minoria, tão realmente achando que estão diceminando alguma coisa aqui com essas mentiras, ? Coitados de vcs, da até uma certa vergonha alheia aqui, porque vocês não tem nenhuma utilidade, ficam ae com suas mentiras, achando que estão ganhando algo, vcs estão cavando a própria cova, quando essa emissora falir, quer dizer já está falando né, se não nem teria criado esse canal aqui no YouTube! bonde de lixo, escória do Brasil.",OFF
Um dia teremos tds os sistemas políticos totalitários genocidas sendo rechaçados no mundo!!!,OFF
"isso tem que muda! Esta acontecendo ,muito, tds estamos sugeito sai e não volta. Esta praga ainda é mineiro , desgraçado. USER vai se Presidente, e vai muda muita coisas pra melhor! Hoje nos só temos dúvidas em td.",OFF
RT USER: Fodase meu melhor amigo chegou 😭❤🥺,OFF
*DEVE SER O USER DO LULA QUE ESFAQUEOU USER*,OFF
"USER USER vai se iUSERformar pvf , isso é crime isso é direto taUSERto de uma mulher quaUSERto um homem, USER É CRIME, ele falo USERo iUSERício do vídeo, ela se seUSERtiu usada, ela se seUSERtiu ofeUSERdida!!!! Fosse com a sua mãe ,sua esposa , sua filha, USER USER falaria uma merda dessa!!!!!!!!!",OFF
"RT USER: Tô vendo que a gente vai dormir e acordar com 500 notícias do comeback, eles indo pro aeroporto, vai ser dedo no cu e grita…",OFF
a cantada lixo URL,OFF
"No final geral fica com raiva de mim Eles acham q eu sou sl Uma máquina de putaria Mas estou aqui, só num sábado, com vontade de comer miojo",OFF
"USER, é só você estudar mais para ser menos burro.",OFF
"USER USER USER O Bolsonaro é corrupto mlk, para de ser retardado, seu cérebro tá atrofiando",OFF
USER de uma pêrinha🍐😍,OFF
USER USER Tá virando putinha do Tite 🤦🏻‍♂️,OFF
"USER USER Sai na rua bando de vagabundos ladrões, vamos moer está raça maldita na porrada, bando de GANGSTERS e cornos",OFF
"Quem guardou ele foi o diabo, amigo dele",OFF
USER baitola lixo,OFF
USER Y LOS CHINOS ULTRA GENOCIDAS.,OFF
Bixo melhor video seu USER eu USER vi USER os 11 minutos HUAHUAHUAHUAHUAHUA USER USER USER USER MULEUSERUE USER PORRA É USER Todo o ascor USER senti vendo essa merda no cinema vc disse ai no video USER abraço,OFF
Vai um USER aí? Que propaganda mais sem noção Burguer USER! Lamentável!,OFF
Bando de lixo ! Deixem nossas crianças em paz !,OFF
Esfaqueado ou não se USER quiser tu não vai ganhar essa é só a prova da merda que tu que fazer com a população liberação de armas senhor meu bom USER não vai deixar isso acontecer,OFF
USER GRANDE M.... VERGONHA!!! 3 PATETAS DERAM A LIDERANÇA PARA PLANTA DA LINN!,OFF
o USER só passa vergonha pqp USER,OFF
As almas desses infelizes estão condenadas para arderem no fogo 🔥 do inferno para toda eternidade !!!,OFF
"Cara isso é uma ofensa pra todos os USER de todas as idades nao so de 13 que amam crepusculo como eu nao pelo crepusculo mais pelo taylor (jacob ) mesmo assim adoro o filme se voce nao gosta de crepusculo e acha sem sentido nao precisa falar mal do filme em publico e nem dos USER , so guarda suas opioes pra si mesmo porque ninguem precisa saber (nao quero ofender ninguem e nem causar confusao com esse comentario so estou falando minha opiniao e o que eu acho como voce fez no video nem adianta falar merda pra mim porque minha opiniao continuara sendo a mesma ) (* vim de 2017 ) inscreva se no meu canal !!!!!",OFF
O USER USER na reportogem hote O assacino ele USER era filiado ao pt pois bem se essa esquerda que USER falam e pt USER tem nada aver agora uma coisa USER eu pensso sobre uma pessoa que quer mudar O pais chamar mulheres USER USER e agredir verbalmente outra jornalista isso pode povO USER sou avor e Nem USER porq nessas enleiçoes USER vou vota.... Mas um coisa USER eu quero deixar clr democrassia USER e USER liberar uma arma USER e USER diser q bandido bom e bandido morte democracia se faz com O carater USER querer pra nossa nasçao O melhor entao pense USER digo A USERs USER vote em tal candidato ms USER em quem USERs vao votar eva quais sao as proprosta USER melhoria pra noss nOçao estou ve Do so O oodio sendo espelhado USER Cada reaçao USER USER USER sobre todas as coisas,OFF
"USER ""o mito deixou a pandemia fugir de controle"" kskskks se alguém tem culpa dos 500 mil mortos são os USER ninguém respeitava as restrições, tinha contrabando de oxigênio enquanto tinha gente morrendo véi, a vdd é esse 500 mil mortos é resultado de um Bando de USER egoísta",OFF
o sea hoy me dio tanta rabia q literalmente se ofreció a pagar la comida de todos los amigos d mi hermana y cuando mis amigas cumplen años los papás nunca ponen un culo marica es que ni para la torta 😭😭😭😭,OFF
"USER E quantos desses negros são inocentes e quantos são criminosos e bandidos? Te dou absoluta certeza que a maioria dos negros mortos não são inocentes, infelizmente muitas vezes inocentes acabam sendo mortos pela corrupção na polícia",OFF
lkkkkkkkkkkk vai se fuder muito,OFF
"USER e caçador de vampiros burro, USER e vampiro",OFF
"USER USER Não sei oq é pior, a mina surtada ou o cara bunda mole",OFF
Muito fóda.. muito fóda. ele tinha que falar sobre ele Brilhando no sol. KKKKKKKKKKKKK,OFF
gui vai levar um pau se não levar o narguile,OFF
Rindo ate 2020 essa cariri e ridicula mesmo 😂😂😂😂😂😂😂😂😂😂😂😂😂,OFF
"USER, perdeu um cliente.",OFF
USER Esta porcaria pode ser entrevistada por todas as porcarias puxa saco dele que vai ser a entrevista do ano. Quero ver sair na rua. Vai fazer um comício pra ver? 😂 😂 😂 Vai pregar suas mentiras num palanque? Claro que não. Borra nas calças,OFF
USER ta feia pra porra essa ai nao comeria,OFF
"Gosto muito dos flows mas todos que tem essa mulher, eu perco total a vontade de assistir, USER entra no flow pra puxar uma conversa casual e DIVERTIDA pra entreter o povo e puxar um assunto legal, acaba que o assunto fica técnico demais e eu acho isso tão merda, é como o comentário do outro cara ""USER entra num bar pra conversa de bêbados e nego traz um quadro, giz e livros"" É óbvio que estou defendendo ninguém mas porra, esse não é ambiente pra discussão :/ Tipo, se eu chego num amigo e mando uma piada e ele me pergunta que informação é essa e de onde eu tirei, na moral ""tchau seu chato do krl""",OFF
"É isso eu sou horrível, eu não sirvo pra absolutamente nada só pra passar tempo mesmo Eu devo ser insuportável, eu devo ser estranho e um lixo que nunca conquistou nada que quis na vida",OFF
As pessoas tem que entender que ninguém nasce gay isso e estudado e confirmado que e uma mudança de comportamento. E se USER for contra os princípios gays USER e homofóbico a que bobeira.,OFF
kkkkkk;; Esse USER USER é USER foda!,OFF
O cara fala que tem que ter um partido nazista e ainda fala que abomina isso ...,OFF
"qnd tirei o escapamento do carro, vieram me falar que mulher não curte e que não ia ajudar a pegar mulher, sendo que eu fiz isso pra mim e pq eu curto fodase URL",OFF
odeio goiano e mineiro,OFF
"Caralho, mas eu nunca, mas NUNCA mais vou ser cliente da Gol de novo Empresa lixo Lixo Lixo Lixo Lixo",OFF
"aí garota chata insuportável vai tomar no seu cu, deixa a menina postar o que ela quiser você não tem nada a ver com isso invejosa",OFF
tem q ser muito burro p fumar kkk,OFF
"E ainda n entra na minha cabeça... COMO q eu fui perder totalmente o controle de tudo relacionado a dinheiro! Parece que quanto eu mais corro pra ele (LITERALMENTE) mais ele corre de mim.... pq é um tal do ""hj n deu, vc vai ter q esperar"" q me fode.",OFF
USER Esse conselho é um antro de aproveitadores … tudo mamando …,OFF
USER O safado não vale nada! Este lixo deveria estar preso! Deus nos livre do desastre que seria a eleição dele !,OFF
Eu vou começar a criar vergonha na cara 🙃🤡,OFF
"Só errou numa coisa..não USER o filme, mas pelo o que USERc falou ae no USERideo, o USER só não come a Bella porque afinal..ele é um USER, USERs não tem sangue e portanto não tem ejaculação... é.. aposto.",OFF
"USER nao é gorda nao,USER esta obesa.vai se tratar é o melhor que USER faz.",OFF
"As vezes eu acho que eu tenho dois neurônios funcionando só pq ó, como eu sou imbecil",OFF
Solta essa piranha que tem dentro de você,OFF
eu estou viciado no pau do meu mestre &lt;3 como eu amo servir de putinha pra ele,OFF
USER Arthur debocha das mulheres faz cara de risinho enquanto as mulheres falam e as mesmas minas q se irritam c isso aqui fora defendem o cara. Mulher é bicho mt estranho,OFF
USER Tú eres una asquerosa bodega de pus 🤮,OFF
"Foda que o comunismo matou mais que nazismo. Eu não quero defender ninguém, só sou neutro mas, USER USER, citar nazismo sem colocar o contexto sobre foi burrice mesmo",OFF
USER É como se essas pessoas vivessem através do relacionamento dos ídolos e isso é tão doentio. Parece que não sabe o quanto eles sofrem com isso e é pior para pessoas sensível como o E.,OFF
A Narizinho tá engasgada kkkkkk,OFF
"Dar voz pra nazista, pra ele acabar influenciando querendo ou não crianças e jovens por aí e do nada surgir outras guerras... 🤔🤦",OFF
"Pois é, julgaram tanto USER era um mendigo, disseram ser estuprador e agora esse tapa na cara da sociedade, desempregado, sem casa, ainda com a ingenuidade de achar que o traste que nos governa é bom e deve voltar. Que ele consiga ajuda psicológica e estabilidade para viver em paz.",OFF
"RT USER: USER Deje de escribir mkdas, no sea mentiroso",OFF
"USER Caralho, esse álbum me impactou tanto na época que na primeira vez que eu escutei eu tinha me dado conta que eu já estava há 7 dias deitado na cama deprimido. Depois desse álbum eu não lembro de outro álbum ter mexido tanto comigo, seja pra sentimentos bons ou ruins.",OFF
USER Maldito himno,OFF
"Que feio hein cara, copiando comentário",OFF
que se fodase,OFF
"USER USER USER Wtf cara, nada a ver Tô tentando interpretar a lógica, mas nem dá com uma coisa tão ilógica assim amigo, puta que pariu Já começa que alguém bi nunca vai ter uma relação hétero ou gay, outra que sexualidade não se baseia apenas em sexo, se baseia pelo gênero que a pessoa vai+",OFF
Essa USER tá um extresse só muito palavrão affs,OFF
USER Ele não ajuda… e não deixa ninguém ajudar!!! Compromisso com a morte e miséria!!!,OFF
USER desde Uruguay pro maluco belleza👌,OFF
USER Eles não cansam de passar vergonha. Com toda certeza nós é quem financiamos essas porcarias.,OFF
USER USER ai caralho HASHTAG HASHTAG HASHTAG,OFF
aeeee caralho senta paulada nessas desgraca!!!!!!!!,OFF
Meu USER USER USER mais IDIOTA USER nem conheçe e vem falar? USER na boa se fosse para a stephanie criar uma historia de vampiros lobisobisomens como eles sao ficaria uma merda igual a USER! Ela criou uma historia diferente e com criatividade! E vai falar USER o USER é gay antes disso USER deveria se olhar ta? E USER pd criticar oq for pq sua opiniao n importa comparada a USER e USER USER e outra coisa USER foi falar da bella fisicamente e fisicamente ela é a kristen USER,OFF
"RT USER: “Aún hay obtusos que creen que ser anticapitalista es vivir en una cueva e ir descalzo, que ridícula es la ignorancia prepotent…",OFF
"é muito vago usar o termo ""USERuem nunca errou"", n foi a primeira vez USERue o USER falou merda, mas foi a primeira vez USER teve essa repercussão toda, ele dizer USERue n teve a intenção de fazer apologia, n tira o fato de ele ter sim feito apologia ao nazismo, a entrevista durou um pouco mais de meia hora e o entrevistado explica perfeitamente onde estão os erros na fala do USER, se ele não saísse ai mesmo USERue o USER acabaria por não haver mais patrocínios e com USER haveriam diversos boicotes e falta de entrevistas, ele errou, está tendo a sua punição e o USERue ele pode fazer daUSERui pra frente é pensar antes de falar merda e vir com a desculpa de USERue estava bêbado, se o cara não tem culhões pra sustentar o erro dele sozinho e joga a culpa em outras coisas, falta muita maturidade ainda",OFF
"Tanta gente incomodada com as curtidas e as opiniões... se se acham certos ok! Que bom para vocês! Mas dizer que uma coisa é certa porque ela sempre existiu é idiotice... sempre existiu o bem e o mal, escolha o que quiser e pronto!",OFF
quando o povo daq começa a discutir bíblia eu saio logo da mesa e vou almoçar na sala sozinha pq pqp não tenho paciência,OFF
USER bichona sonsa URL,OFF
"USER valascvijus não dou à mínima pra vc, como eu disse, o mundo caminha sem rumo.",OFF
"USER ma che pallw … beh tu continua su questa linea d’onda guarda se magari riesci ad avvicinarti, magari si lascia andare e si fida",OFF
USER eu escrevo como eu quiser porra tyago teago titi thiagueira tiu agueira me deixa em paz,OFF
"Não dá pra marcar nada com a Beatriz, a bixa demora demais vei pqp.",OFF
"""USER USER TEM VIDA SEU USER DO CAPETA"" KKKKKKKKKKKKKKKKKKKKKKK",OFF
USER USER Este velho fdp aluga automóveis caríssimos e nós pagamos estas regalias mais o combustível. Bimbo Nunes....teu reinado vai acabar....,OFF
tô numa ressaca do caralho,OFF
"É por isso que a pandemia se alastrou e vitimou quase 700 mil brasileiros, imbecil, calhorda, beócio. Depois não gosta de ser chamado de GENOCIDA😠😠😠 URL",OFF
"USER USER ai que a suspeita sobre a credibilidade do programa e verdade mesmo, a Direção manda fazer coisas absurdas como pularem pra sair da prova pra Traveco ganhar no diga do orgulho gay",OFF
foi foda...,OFF
morte a criadora do crepusculo que seja queimada na praça,OFF
USER Vai chupar uma pica vai corno manso,OFF
"Eu não sei como as pessoas ligam pro Monark, ele sempre fala absurdos... O cara nem deve apoiar o nazismo é tudo mulekagem e vacilo.",OFF
"Desgraça, perderam um cliente fiel",OFF
Linda campanha. Inclusiva e USER USER. Isso é o que importa. Ninguém é superior e muito menos tem o direito de interferir na vida de ninguém. Os que não gostaram simplesmente ignorem. Afinal é a opinião de vocês e também deve ser respeitada. Mas a vida é livre e pode-se fazer dela o se bem entender. Ninguém tem nada haver com as decisões da vida de outras pessoas. A não ser que você pague as contas da mesma. Parabéns USER USER pela iniciativa. E fodam-se os idiotas!,OFF
USER 🤢,OFF
"USER Vagabundo quer fazer as crianças de rato de laboratório, tu vai assumir as consequências",OFF
Ta loca na escola do meu filho ela não chegava nem no corredor principal pUSER na entrada do colégio já pedia as Mãe USER conhece a escola com roupa no joelho não e pUSER moramos em um lugar USERuente temos USER ir peladas USER é loucaaaaa!!!!,OFF
🤣🤣🤣🤣🤣🤣🤣🤣 Euuuu quero o ladrão na cadeia!!!🤣🤣🤣🤣🤣 URL,OFF
"Essa declaração só mostra mais uma vez que o USER só trata vcs como estatística, então deixa de ser burro e para de idolatrar quem não liga pra vc!",OFF
"Eu avisei que a extrema esquerda (TSE, Políticos, Artistas) estavam dando um tiro no pé em achar que todo adolescente no país irá votar no bandido corrupto vagabundo do Lula... Se entrarem no HASHTAG vão se assustar...",OFF
"Um mostro desse tem a capacidade de matar a própria filha ... imagina o q ele pode fazer com os outros? Uma vergonha, um perigo, uma crueldade com a mãe da Isabela... vê esses dois lixos na rua !!!",OFF
USER Eu peguei era 7h e cheguei quase 10h no trabalho. Eu vi!!! Esse corno veio lá de Indaiatuba ainda,OFF
"Me chama de amor, pede com carinho me enforca que eu gosto fuder no escurinho e ele me faz g**** baby",OFF
"Que foda, eu entendo o posicionamento do flow, e acho que está correto. Mas, o programa que era leve, ficou bem pesado.",OFF
Simplesmente patético tudo isso.,OFF
USER fica de putaria enquanto eu tô de vela no grupo,OFF
"eu tenho certeza q isso vai acontecer, espero q ele n seja tão filho da puta pelas minhas costas",OFF
USER o mínimo que eu espero é o mundo na sua mão porra,OFF
Abandonou o amigo. Que se foda 80 pessoas...eles não estavam qdo o USER teve início.,OFF
"eu to acreditando, mas com medo. vai brasil caraio HASHTAG",OFF
USER eu respondi um tweet seu lá na porta gayzão,OFF
USER USER USER Bostinha putinha de milico ficou chateado?? 😭,OFF
"USER Péssimo, pavoroso, asqueroso, tudo de ruim que se pode nomear; o que me conforta é que eu não votei no atual presidente na última eleição URL",OFF
"Ao monark porra 🥺 sucesso USER, vai dar boa sempre",OFF
USER USER FICO MENTIROSO 😡 PAYASO 🤡 EL CAMUFLAJE DE URIBE GENOCIDA CENTRO DEMOCRÁTICO NARCOURIBISTA RATAS 🐀 CORRUPTOS MAFIOSOS URL,OFF
"Como podes dizer a teu irmão: Irmão, deixa-me tirar o cisco do teu olho, quando USER não vês a trave no teu próprio olho? HIPÓCRITAS! Tira primeiro a trave do teu olho, e então poderás enxergar bem para tirar o cisco do olho do teu irmão”. Antes de julgar o monarck olhem para vida de vocês...",OFF
"USER vacilou com certeza, só que essa galera está fazendo o cara de bode, cadê a galera caindo em cima da galera do capitão cueca que prestou homenagem a USTRA. USER país da piada e hipócritas do caralho...",OFF
"USER USER Me bloqueaste zurdo inmundo 😆😆😂😂😂😁😁 les gusta a ustedes no mas, lacras parásitas. URL",OFF
"USER Para de passar vergonha com esses seus posts sem engajamento, ninguém liga para as besteiras que vc posta.",OFF
USER USER dos Santos USER USER :P,NOT
como que quer que eu melhore se eu só fico em casa aí quando dá pra sair n posso porra assim eu nunca vou melhorar mesmo,OFF
cara vc é foda,OFF
"USER USER Vc tá de sacanagem?! Seriedade?! Em um país sério esse ser, advogado do PCC jamais seria um juiz da suprema corte. Em u. País sério o seu candidato estaria atrás das grades. Vc comemora por calarem a voz de um opositor. Em breve a sua será calada. Verme",OFF
"eu curto story como se fosse foto do feed, fodace",OFF
"Vingança é bom, mas dessa vez eu preferia não ter me vingado, pqp…",OFF
USER daria uma boa primeira dama para Brasil poha,OFF
Burro dms,OFF
"USER Bolsonaro joga um jogo sujo.Ele usa a maquina do Estado de forma canalha e p/ seus interesses. Eu só peço p/Deus não me levar embora dessa vida c/o ódio q/eu tenho dele e de todos desse governo. Eu já tive raiva na vida, mas depois desse golpe, eu sinto ódio de todos os golpistas",OFF
USER Pau no deu cu e no dele,OFF
vai se fuder isso é lindo d++,OFF
USER eu já tô o lixo,OFF
"USER USER Pqp, tava vendo ele esses dias e pensando: esse diabo t cara de pastor e daqui a pouco vira político.",OFF
Tem que ensinar as crianças que só existem homens e mulheres e mais nada!,OFF
"A verdade é essa, tem que dar prisão inafiançável. Só assim vai parar ou diminuir pelo menos! Esses caras são uns canalhas!!!!",OFF
"E outra pq ao invés de matar metade dos seres vivos, ele n fez ter recursos infinitos. Thanos só era fdp e queria q todo mundo de fodesse msm pq se ele fosse inteligente ele teria feito as coisa direito. Burro",OFF
USER USER ESPERO USER TENHA IDO EMBORA,OFF
USER volta a falar de cu....馃檮,OFF
USER falou 3 frases nesse flow é foda ver que os dois tavam quase chorando,OFF
"Nossa a Lina pelo visto vai realmente mandar um dos 3 pro paredão, vai se queimar 100% com o sofá kkkkk",OFF
Nunca gostei de vocês BURGUER USER e agora é que não gosto mesmo! Total repúdio!,OFF
"USER N vai, a nem consegue entender bissexualidade Pra ela ou é normal ou é sapatao ou viado",OFF
"USER USER USER Bolsonaro será lembrado como um ladrão, fascista e genocida. Está entregando o país para um bando de pastores canalhas só para continuar roubando. Tem mais, 650 MIL mortos não é pra qualquer vagabundo.",OFF
"mano esse USER USER e muito USER USER,esse cara é um mito mano...parabens sucesso e USER.💪✌",OFF
"kkkkk eslô putinha pq pegou monstro,,,, a intocável!! genteeeeee não entendo pq entrou no bbb kkkk",OFF
me chama de amor pede com carinho me enforca q eu gosto fuder no escurinho e ele me faz gozar baaaaaabyyyyy,OFF
"Sinceramente acho ridículo essa propaganda pelo simples fato de estarem colocando essa crianças nesse papel q elas nem sabem do que estão falando não tem ainda nem uma opinião formada sobre nada isso é apenas pensamentos dos pais delas e não deles. Não tenho nada contra a comunidade LGBT mas acho que já estão forçando de mais em trazer crianças para dar suas ""Opiniões"" sobre o assunto.",OFF
"USER cagou nessa aí, mais tem que dá a USER USER e de USER, os debates com USER sempre são calorosos ele bate de frente com o convidado e faz perguntas que a grande massa da população quer escutar, parabenizo o USER USER pelo trabalho, mais tenho que ser sincero não acho que o USER vai trazer o entretenimento para a grande massa, USER abre seu pod cast e leve a frente o seu projeto, lhe garanto que seu público será fiel a você.",OFF
USER É um absurdo né. Francamente. Falta uma enxada pra esses colarinhos brancos. Vadios. Nós pagamos vocês cambada de ladrões,OFF
A diferença que um pegou o traveco e o outro a mulher do personal.zoeira!!?? URL,OFF
Ser burro e algo normal mas o USER é a única pessoa que eu conheço que quer persistir na burrice é algo quase inacreditável,OFF
Conseguiram acabar com a vida do cara. Todo mundo já sabia que ele era idiota em certos temas abordados. Levava o professor e dava 24hrs de aula com ele sobrio já o era o bastante. Fico triste como o ser humano é capaz de fazer uma coisa dessas.,OFF
"USER USER Um ladrão, corrupto, ex presidiário, líder da quadrilha do PT o outro Genocída mentiroso moleque milíciano arruaceiro irresponsavel corrupto Vagabundo corno negacionista covarde Noivinha do Aristides mico TARADO machão do cercadinho Rachadinha... URL",OFF
Vão pagar caro com Deus 🙌,OFF
"O USER é que acaba pesando pro Igor, que literalmente não tem culpa de nada",OFF
"Para mim não tem cabimento, é obvio que foi uma situação infeliz, mas mais óbvio que isso é o Monark sendo desligado a força das mídias e patrocinios que são higienizados bonitinhos e perfeitos, puta que pariu",OFF
